transaction_id,account_id,transaction_date,amount_ngn,merchant_id,merchant_name,merchant_category,transaction_channel,transaction_location,account_home_city,is_fraud,fraud_flag_reason
TXN0002894,ACC00055,2024-04-06 14:19:03,63673.21,MRT007,EKEDC Electricity,Utilities,Mobile App,Lagos,Lagos,0,
TXN0005673,ACC00109,2024-07-29 05:51:44,65082.98,MRT005,Jumia Online Store,E-commerce,USSD,Port Harcourt,Port Harcourt,0,
TXN0006095,ACC00117,2024-03-25 02:02:51,73258.06,MRT002,POS Terminal Lekki,POS,POS,Kano,Kano,0,
TXN0001746,ACC00033,2024-08-18 08:48:09,70627.81,MRT001,Shoprite Ikeja,Grocery,POS,Lagos,Lagos,0,
TXN0004099,ACC00078,2024-06-18 00:17:43,129203.84,MRT010,Konga Electronics,E-commerce,ATM,Abuja,Abuja,0,
TXN0002027,ACC00038,2024-08-18 02:32:01,36580.3,MRT005,Jumia Online Store,E-commerce,POS,Abuja,Abuja,0,
TXN0004307,ACC00082,2024-12-13 17:02:29,112969.14,MRT007,EKEDC Electricity,Utilities,Mobile App,Abuja,Abuja,0,
TXN0002505,ACC00047,2024-08-27 01:09:27,49618.49,MRT008,ATM Withdrawal UBA,ATM,POS,Abuja,Abuja,0,
TXN0001006,ACC00020,2024-12-22 18:02:26,36952.16,MRT010,Konga Electronics,E-commerce,Mobile App,Port Harcourt,Port Harcourt,0,
TXN0006218,ACC00119,2024-09-01 00:01:04,105211.59,MRT006,Chicken Republic VI,Food & Dining,USSD,Kano,Kano,0,
TXN0000156,ACC00003,2024-04-01 16:43:45,15353.52,MRT006,Chicken Republic VI,Food & Dining,POS,Kano,Kano,0,
TXN0003885,ACC00073,2024-01-26 23:47:25,58741.68,MRT008,ATM Withdrawal UBA,ATM,Web,Lagos,Lagos,0,
TXN0004228,ACC00080,2024-12-30 01:32:19,134390.65,MRT004,Netflix Subscription,Streaming,Mobile App,Abuja,Abuja,0,
TXN0004244,ACC00081,2024-08-17 07:44:42,139023.45,MRT010,Konga Electronics,E-commerce,Web,Abuja,Abuja,0,
TXN0003490,ACC00066,2024-03-02 10:45:13,127021.75,MRT009,Bolt Ride Hailing,Transport,Mobile App,Lagos,Lagos,0,
TXN0005331,ACC00102,2024-06-30 18:21:40,17165.53,MRT001,Shoprite Ikeja,Grocery,Mobile App,Kano,Kano,0,
TXN0000368,ACC00007,2024-01-19 21:31:36,42562.77,MRT001,Shoprite Ikeja,Grocery,USSD,Port Harcourt,Port Harcourt,0,
TXN0004717,ACC00090,2024-04-27 18:36:38,127742.76,MRT005,Jumia Online Store,E-commerce,USSD,Abuja,Abuja,0,
TXN0001387,ACC00027,2024-12-04 09:09:17,24737.55,MRT003,MTN Airtime Top-up,Telecom,Web,Kano,Kano,0,
TXN0001132,ACC00022,2024-12-22 23:21:16,82664.1,MRT002,POS Terminal Lekki,POS,USSD,Abuja,Abuja,0,
TXN0005321,ACC00102,2024-06-22 10:55:54,137464.46,MRT002,POS Terminal Lekki,POS,USSD,Kano,Kano,0,
TXN0002472,ACC00046,2024-08-16 16:15:57,14783.31,MRT008,ATM Withdrawal UBA,ATM,POS,Abuja,Abuja,0,
TXN0004973,ACC00095,2024-10-30 09:51:58,120887.06,MRT009,Bolt Ride Hailing,Transport,Mobile App,Port Harcourt,Port Harcourt,0,
TXN0005045,ACC00097,2024-12-23 06:33:40,141583.37,MRT003,MTN Airtime Top-up,Telecom,USSD,Kano,Kano,0,
TXN0005181,ACC00100,2024-12-19 03:18:51,103060.69,MRT006,Chicken Republic VI,Food & Dining,POS,Abuja,Abuja,0,
TXN0004076,ACC00077,2024-12-28 03:22:48,69132.34,MRT010,Konga Electronics,E-commerce,POS,Ibadan,Ibadan,0,
TXN0000931,ACC00019,2024-10-08 02:03:30,33985.75,MRT010,Konga Electronics,E-commerce,POS,Kano,Kano,0,
TXN0004155,ACC00079,2024-05-24 07:15:23,69763.25,MRT004,Netflix Subscription,Streaming,ATM,Kano,Kano,0,
TXN0005232,ACC00101,2024-07-31 14:57:58,91494.14,MRT007,EKEDC Electricity,Utilities,Web,Kano,Kano,0,
TXN0005886,ACC00111,2024-06-12 08:53:37,47713.04,MRT006,Chicken Republic VI,Food & Dining,Web,Ibadan,Ibadan,0,
TXN0000076,ACC00002,2024-06-08 20:48:37,43588.56,MRT008,ATM Withdrawal UBA,ATM,ATM,Lagos,Lagos,0,
TXN0004353,ACC00082,2024-11-30 18:26:41,120019.47,MRT009,Bolt Ride Hailing,Transport,ATM,Abuja,Abuja,0,
TXN0001908,ACC00036,2024-08-03 19:15:49,8456.72,MRT008,ATM Withdrawal UBA,ATM,Web,Ibadan,Ibadan,0,
TXN0001481,ACC00029,2024-02-07 22:12:01,26838.01,MRT008,ATM Withdrawal UBA,ATM,ATM,Port Harcourt,Port Harcourt,0,
TXN0002164,ACC00040,2024-07-20 01:07:58,98822.68,MRT010,Konga Electronics,E-commerce,Web,Abuja,Abuja,0,
TXN0004684,ACC00089,2024-11-19 12:21:04,87505.56,MRT006,Chicken Republic VI,Food & Dining,POS,Ibadan,Ibadan,0,
TXN0000737,ACC00014,2024-01-20 15:58:39,138657.69,MRT003,MTN Airtime Top-up,Telecom,ATM,Lagos,Lagos,0,
TXN0005325,ACC00102,2024-04-13 17:10:22,7767.11,MRT008,ATM Withdrawal UBA,ATM,ATM,Kano,Kano,0,
TXN0003197,ACC00060,2024-08-30 17:10:06,89370.94,MRT008,ATM Withdrawal UBA,ATM,Mobile App,Port Harcourt,Port Harcourt,0,
TXN0005222,ACC00101,2024-11-01 03:02:03,78576.97,MRT002,POS Terminal Lekki,POS,ATM,Kano,Kano,0,
TXN0002175,ACC00041,2024-03-20 17:41:13,28044.55,MRT007,EKEDC Electricity,Utilities,Mobile App,Ibadan,Ibadan,0,
TXN0005071,ACC00097,2024-04-19 14:13:30,121260.55,MRT001,Shoprite Ikeja,Grocery,USSD,Kano,Kano,0,
TXN0000786,ACC00016,2024-03-03 11:44:18,82283.42,MRT002,POS Terminal Lekki,POS,Mobile App,Ibadan,Ibadan,0,
TXN0003299,ACC00062,2024-07-13 17:54:28,91779.7,MRT001,Shoprite Ikeja,Grocery,ATM,Lagos,Lagos,0,
TXN0005206,ACC00100,2024-12-10 05:49:56,13713.74,MRT002,POS Terminal Lekki,POS,ATM,Abuja,Abuja,0,
TXN0003691,ACC00069,2024-01-12 18:48:17,6296.76,MRT010,Konga Electronics,E-commerce,USSD,Abuja,Abuja,0,
TXN0000358,ACC00007,2024-06-03 20:18:29,114219.42,MRT003,MTN Airtime Top-up,Telecom,USSD,Port Harcourt,Port Harcourt,0,
TXN0002033,ACC00038,2024-11-08 18:45:22,85056.79,MRT010,Konga Electronics,E-commerce,USSD,Abuja,Abuja,0,
TXN0005078,ACC00097,2024-06-17 08:02:16,171072.03,MRT011,Unknown Vendor XJ9,Unknown,Web,Nairobi,Kano,1,Unknown or unregistered merchant
TXN0002401,ACC00044,2024-07-20 20:26:02,88821.01,MRT010,Konga Electronics,E-commerce,Mobile App,Kano,Kano,0,
TXN0006205,ACC00119,2024-02-16 18:49:12,121393.41,MRT008,ATM Withdrawal UBA,ATM,Web,Kano,Kano,0,
TXN0006270,ACC00120,2024-05-20 04:57:55,1853455.55,MRT011,Unknown Vendor XJ9,Unknown,Mobile App,Ibadan,Ibadan,1,Large transaction at unusual hour (1am–4am)
TXN0000442,ACC00009,2024-02-13 13:51:42,124401.72,MRT001,Shoprite Ikeja,Grocery,USSD,Lagos,Lagos,0,
TXN0002972,ACC00057,2024-04-21 20:59:51,80396.36,MRT002,POS Terminal Lekki,POS,Web,Lagos,Lagos,0,
TXN0000396,ACC00008,2024-03-08 06:10:37,136862.56,MRT008,ATM Withdrawal UBA,ATM,POS,Ibadan,Ibadan,0,
TXN0001284,ACC00025,2024-07-30 21:36:18,56571.93,MRT004,Netflix Subscription,Streaming,USSD,Port Harcourt,Port Harcourt,0,
TXN0000829,ACC00017,2024-05-11 05:08:24,46986.92,MRT005,Jumia Online Store,E-commerce,ATM,Abuja,Abuja,0,
TXN0005015,ACC00097,2024-10-04 08:58:58,98430.69,MRT001,Shoprite Ikeja,Grocery,Mobile App,Kano,Kano,0,
TXN0002222,ACC00042,2024-08-15 23:16:13,113764.38,MRT009,Bolt Ride Hailing,Transport,ATM,Abuja,Abuja,0,
TXN0002339,ACC00044,2024-09-21 11:59:59,38516.06,MRT003,MTN Airtime Top-up,Telecom,USSD,Kano,Kano,0,
TXN0001091,ACC00021,2024-03-30 06:01:11,58126.55,MRT007,EKEDC Electricity,Utilities,Mobile App,Ibadan,Ibadan,0,
