account_id,age,city,account_type,avg_monthly_balance,risk_profile
ACC00082,41,Abuja,Savings,73806.12,Low
ACC00083,43,Port Harcourt,Savings,2417719.42,Low
ACC00084,63,Ibadan,Current,1703602.52,Medium
ACC00085,43,Lagos,Savings,2194440.45,Low
ACC00086,59,Port Harcourt,Savings,284380.33,Low
ACC00087,42,Kano,Salary,2460826.09,Low
ACC00088,58,Abuja,Current,125300.54,Low
ACC00089,55,Ibadan,Salary,1802783.55,Medium
ACC00090,64,Abuja,Current,1086774.04,High
ACC00091,43,Ibadan,Current,1663517.88,Low
ACC00092,41,Ibadan,Current,1672228.87,Low
ACC00093,40,Ibadan,Savings,491722.63,Medium
ACC00094,46,Abuja,Salary,1429226.56,Low
ACC00095,22,Port Harcourt,Current,537303.97,Medium
ACC00096,60,Port Harcourt,Current,1112838.25,Medium
ACC00097,54,Kano,Salary,436683.12,Low
ACC00098,54,Ibadan,Current,247067.19,High
ACC00099,37,Port Harcourt,Savings,2019308.79,Low
ACC00100,24,Abuja,Current,1534015.82,Medium
ACC00101,51,Kano,Salary,1445542.19,Medium
ACC00102,46,Kano,Current,621301.33,Medium
ACC00103,22,Lagos,Current,558820.22,Medium
ACC00104,55,Kano,Savings,1400153.4,High
ACC00105,29,Kano,Savings,2006520.26,Medium
ACC00106,57,Ibadan,Current,2375848.43,Medium
ACC00107,61,Ibadan,Current,2078964.39,Low
ACC00108,32,Kano,Current,659091.0,Low
ACC00109,62,Port Harcourt,Salary,1219223.59,Low
ACC00110,50,Lagos,Salary,725034.45,Low
ACC00111,42,Ibadan,Savings,358859.54,Low
ACC00112,31,Abuja,Savings,1045946.72,Low
ACC00113,51,Kano,Savings,528983.46,Low
ACC00114,59,Lagos,Salary,960246.86,Low
ACC00115,44,Port Harcourt,Current,2135818.16,High
ACC00116,48,Ibadan,Salary,1840565.64,Medium
ACC00117,36,Kano,Savings,693244.25,Low
ACC00118,46,Port Harcourt,Salary,1702667.58,Low
ACC00119,32,Kano,Savings,2452094.11,Low
ACC00120,47,Ibadan,Salary,1662554.4,Low
